repr,font,zhu_code
一,一,Fi
丁,丁,An
丂,丂,Sk
七,七,Ai
三,三,Fa
下,下,Ak
丅,丅,Ak
丌,丌,Aj
不,不,Du
世,世,Hi
丰,丰,Dn
二,二,Si
二,,Si
冫,冫,Si
⺀,⺀,Si
亍,亍,Ah
來,來,Dl
兀,兀,Hw
其,其,Dj
匚,匚,Gf
{畏下},,Gf
十,十,Di
卅,卅,Ss
卌,卌,Ss
厂,厂,Sh
古,古,Dg
土,土,Ht
耂,耂,Ht
士,士,Hf
龶,龶,Hf
{穀頭},,Hf
壴,壴,Dd
大,大,Gd
夫,夫,Gu
𡗗,𡗗,Gu
寸,寸,Ac
尤,尤,Do
尢,尢,Do
工,工,Fo
干,干,Hg
弋,弋,Gy
戈,戈,Gg
戊,戊,Dw
扌,扌,Ao
キ,,Ao
ヰ,ヰ,Ao
木,木,Fv
未,未,He
末,末,Ho
牙,牙,Hy
犬,犬,Sq
王,王,Gn
瓦,瓦,Aw
甫,甫,Fu
石,石,Dh
丆,丆,Dh
示,示,Hs
而,而,Sr
耳,耳,Ar
臣,臣,Sc
至,至,Hk
艹,艹,Sj
{冓上},,Sj
{華中},,Sj
龷,龷,Sj
卄,廾,Sj
卝,卝,Sj
卄,卄,Sj
西,西,Dx
西,覀,Dx
襾,襾,Dx
豕,豕,Ds
豕,,Ds
走,走,Dk
車,車,Gc
叀,叀,Gc
{專上},,Gc
车,车,Hc
辰,辰,Sn
酉,酉,Go
長,長,Ha
髟,髟,Ha
镸,镸,Ha
雨,雨,Dy
面,面,Gi
革,革,Ge
馬,馬,Dm
{馬上},,Dm
ナ,,So
{于下},,Au
丶,丶,Od
乀,乀,Od
丷,丷,Ue
丬,丬,Ue
䒑,䒑,Ue
リ,リ,Ue
之,之,Pe
亡,亡,Uw
{贏頭},,Uw
亥,亥,Oi
亦,亦,Pi
宀,宀,Ob
亠,亠,Ob
广,广,Uu
户,户,Ie
戸,戸,Ie
戶,戶,Ie
文,文,Pw
方,方,Og
氵,氵,Is
⺍,⺍,Is
{兴上},,Is
火,火,Uo
灬,灬,Uo
疒,疒,Pb
穴,穴,Px
立,立,Id
米,米,Pm
羊,羊,Ug
⺷,⺷,Ug
⺶,⺶,Ug
衤,衤,Py
言,言,Ua
讠,讠,Oa
辛,辛,Ox
辶,辶,Pd
门,门,Pn
高,高,Ol
{亮頭},,Ol
{京頭},,Ol
{襄頭},,Ol
鹿,鹿,Il
{鹿上},,Il
麻,麻,Pa
丿,丿,Qp
乂,乂,Wl
𠂭,,Wl
乌,乌,Ew
九,九,Yf
人,人,Te
亻,亻,Ee
亼,亼,Tj
亽,亽,Tj
僉,僉,Rl
儿,儿,Qr
{荒下},,Qr
入,入,Ru
八,八,Ti
{介下},,Ti
冖,冖,Ym
冖,⺈,Ym
几,几,Qj
匕,匕,Ri
千,千,Wk
卯,卯,Tm
{齊右},,Tm
{卯左},,Tm
{乐上},,Tm
{卬左},,Tm
合,合,Ye
{龠上},,Ye
向,向,Rn
{向框},,Rn
{囟框},,Rn
壬,壬,En
夊,夊,Eh
夕,夕,Rk
夭,夭,Eo
川,川,Qc
彡,彡,To
{两撇},,To
彳,彳,Rc
心,心,Yi
忄,忄,Yi
手,手,Tu
龵,龵,Tu
斤,斤,Ej
⺁,⺁,Ej
月,月,Wy
月,,Wy
{祭上},,Wy
勹,勹,Wy
⺆,,Wy
欠,欠,Ei
殳,殳,Qh
毛,毛,Rm
气,气,Qq
烏,烏,Yw
{烏上},,Yw
爪,爪,Ek
爪,爫,Ek
片,片,Tp
牛,牛,Wn
⺧,⺧,Wn
犭,犭,Rq
瓜,瓜,Qu
生,生,Wg
用,用,Tn
白,白,Eb
矢,矢,Qi
禾,禾,Rh
竹,竹,Qk
𠂉,𠂉,Qk
{⺮右},,Qk
缶,缶,Wo
自,自,Tk
臼,臼,Rj
舌,舌,Re
舟,舟,Qo
豸,豸,Yk
身,身,Wm
金,金,Wj
钅,钅,Tj
长,长,Th
隹,隹,Wi
風,風,Rf
食,食,Ys
饣,饣,Rs
鬼,鬼,Wu
{鬼左},,Wu
{卑上},,Wu
甶,甶,Wu
魚,魚,Ty
鱼,鱼,Qy
鳥,鳥,Ro
{鳥上},,Ro
鸟,鸟,Ya
{鸟上},,Ya
{微上},,Ri
{奐上},,Yv
{爲下},,Ww
𠂤,𠂤,Yd
𧘇,𧘇,Ry
𧘇,,Ry
上,上,Ks
{丄丶},,Ks
丄,丄,Ks
且,且,Mi
{具上},,Mi
业,业,Kg
冂,冂,Kf
{冂丶},,Kf
{雋下},,Kf
冊,冊,Nc
刂,刂,Md
卜,卜,Mo
{乍下},,Mo
{龍右},,Mo
口,口,Lv
咼,咼,Na
冎,冎,Na
囗,囗,Nw
小,小,Ma
尚,尚,Ns
龸,龸,Ns
丨,丨,Ns
〣,〣,Ns
〢,〢,Ns
山,山,Js
巾,巾,Mv
日,日,Jr
日,,Jr
早,早,Jd
曰,曰,Je
止,止,Ni
水,水,Kv
田,田,Jt
由,由,Ko
甲,甲,Kj
申,申,Ke
电,电,Kd
皿,皿,Mn
目,目,Mf
禺,禺,Ky
罒,罒,Mw
虎,虎,Mu
{虎头},,Mu
虍,虍,Mu
虫,虫,Kc
見,見,Mx
见,见,Kx
貝,貝,Mb
贝,贝,Kb
足,足,Nv
里,里,Kk
門,門,Kn
非,非,Li
骨,骨,Mg
鬥,鬥,Nd
鹵,鹵,Kl
黑,黑,Ne
黽,黽,Jm
{龜下},,Jm
齒,齒,Mc
龰,龰,Nf
{亞下},,Ja
𠁁,𠁁,Ja
{亞中},,Ja
丑,丑,Bc
乃,乃,Vj
乙,乙,Vi
𠄎,𠄎,Vi
亅,亅,Vi
乛,乛,Vi
乛,㇆,Vi
乁,乁,Vi
㔾,㔾,Vi
乛,乙,Vi
乚,乚,Xi
〇,〇,Xi
𡿨,𡿨,Xi
㇉,㇉,Xi
也,也,Cy
乜,乜,Cy
习,习,Xi
了,了,Vl
予,予,Cu
凵,凵,Xg
{发上},,Xg
屮,屮,Xg
丱,丱,Xg
丩,丩,Xg
刀,刀,Bd
力,力,Xk
卩,卩,Xj
厶,厶,Vv
又,又,Bu
マ,マ,Bu
癶,癶,Bu
コ,ユ,Bu
ス,ス,Bu
コ,コ,Bu
女,女,Cn
子,子,Vk
尸,尸,Bh
{眉上},,Bh
巛,巛,Vc
巜,巜,Vc
己,己,Bj
已,已,Bi
巳,巳,Ck
巴,巴,Cb
幺,幺,Vo
廴,廴,Xn
弓,弓,Vg
彐,彐,Xl
{反彐},,Xl
肀,肀,Xl
母,母,Bm
{互中},,Bm
{母框},,Bm
彑,彑,Bm
爿,爿,Xp
皮,皮,Vp
糸,糸,Bs
糹,糹,Bs
纟,纟,Vs
{纟上},,Vs
艮,艮,Vn
阝,阝,Cj
隶,隶,Xd
韋,韋,Ci
{五下},,Ci
飛,飛,Bk
马,马,Xm
{鼠下},,Bu
